,service_code,service_code_desc,add_date,resolution_date,service_due_date,service_order_date,priority,street_address,zipcode,ward
0,S0000,Abandoned Vehicle - On Public Property,2023/03/15 15:09:40+00,2023/03/22 15:39:05+00,2023/04/03 15:09:40+00,2023/03/15 15:09:40+00,1,Q STREET NW AND KINGMAN PLACE NW,20009,2
1,S0000,Abandoned Vehicle - On Public Property,2023/03/15 15:58:39+00,2023/04/07 19:15:12+00,2023/04/03 15:58:39+00,2023/03/15 15:58:39+00,1,1102 STAPLES STREET NE,20002,5
2,S0000,Abandoned Vehicle - On Public Property,2023/03/15 16:18:07+00,2023/04/12 12:17:47+00,2023/04/03 16:18:07+00,2023/03/15 16:18:07+00,1,400 9TH STREET NE,20002,6
3,S0000,Abandoned Vehicle - On Public Property,2023/03/15 17:31:13+00,2023/03/21 16:42:06+00,2023/04/03 17:31:13+00,2023/03/15 17:31:13+00,1,2326 PAYNE TERRACE SE,20020,8
5,S0000,Abandoned Vehicle - On Public Property,2023/03/15 12:48:59+00,2023/03/31 15:39:05+00,2023/04/03 12:48:59+00,2023/03/15 12:48:59+00,1,5216 JUST STREET NE,20019,7
6,S0000,Abandoned Vehicle - On Public Property,2023/03/15 13:46:04+00,2023/03/20 13:54:58+00,2023/04/03 13:46:04+00,2023/03/15 13:46:04+00,1,201 18TH STREET NW,20006,2
7,S0000,Abandoned Vehicle - On Public Property,2023/03/15 14:20:09+00,2023/04/07 16:06:05+00,2023/04/03 14:20:09+00,2023/03/15 14:20:09+00,1,334 ANACOSTIA ROAD SE,20019,7
8,S0000,Abandoned Vehicle - On Public Property,2023/03/15 14:21:33+00,2023/04/04 17:30:14+00,2023/04/03 14:21:33+00,2023/03/15 14:21:33+00,1,2609 MYRTLE AVENUE NE,20018,5
9,S0000,Abandoned Vehicle - On Public Property,2023/03/15 15:20:25+00,2023/03/22 15:39:14+00,2023/04/03 15:20:25+00,2023/03/15 15:20:25+00,1,1300 Q STREET NW,20009,2
10,S0000,Abandoned Vehicle - On Public Property,2023/03/15 15:36:45+00,2023/04/07 19:12:08+00,2023/04/03 15:36:45+00,2023/03/15 15:36:45+00,1,3905 17TH PLACE NE,20018,5
11,S0000,Abandoned Vehicle - On Public Property,2023/03/15 16:02:04+00,2023/04/07 14:24:20+00,2023/04/03 16:02:04+00,2023/03/15 16:02:04+00,1,2024 SAVANNAH PLACE SE,20020,8
12,S0000,Abandoned Vehicle - On Public Property,2023/03/15 16:38:04+00,2023/03/25 12:27:03+00,2023/04/03 16:38:04+00,2023/03/15 16:38:04+00,1,1400 QUINCY STREET NE,20017,5
13,S0000,Abandoned Vehicle - On Public Property,2023/03/15 16:40:42+00,2023/03/27 13:43:24+00,2023/04/03 16:40:42+00,2023/03/15 16:40:42+00,1,2315 32ND STREET SE,20020,7
14,S0000,Abandoned Vehicle - On Public Property,2023/03/15 16:46:16+00,2023/04/06 18:51:04+00,2023/04/03 16:46:16+00,2023/03/15 16:46:16+00,1,2930 K STREET SE,20019,7
15,S0000,Abandoned Vehicle - On Public Property,2023/03/15 18:44:40+00,2023/04/07 19:09:19+00,2023/04/03 18:44:40+00,2023/03/15 18:44:40+00,1,19TH STREET NE AND RANDOLPH STREET NE,20018,5
16,S0000,Abandoned Vehicle - On Public Property,2023/03/15 18:46:10+00,2023/03/17 17:51:04+00,2023/04/03 18:46:10+00,2023/03/15 18:46:10+00,1,19 V STREET NE,20002,5
17,S0000,Abandoned Vehicle - On Public Property,2023/03/15 18:53:29+00,2023/03/17 15:27:07+00,2023/04/03 18:53:29+00,2023/03/15 18:53:29+00,1,1011 WEBSTER STREET NW,20011,4
18,S0000,Abandoned Vehicle - On Public Property,2023/03/15 20:08:58+00,2023/04/03 14:51:06+00,2023/04/03 20:08:58+00,2023/03/15 20:08:58+00,1,316 16TH STREET NE,20002,7
19,S0000,Abandoned Vehicle - On Public Property,2023/03/15 20:23:16+00,2023/03/16 15:21:06+00,2023/04/03 20:23:16+00,2023/03/15 20:23:16+00,1,411 I STREET NE,20002,6
20,S0000,Abandoned Vehicle - On Public Property,2023/03/15 21:04:53+00,2023/04/10 13:38:03+00,2023/04/03 21:04:52+00,2023/03/15 21:04:53+00,1,1325 LINDEN COURT NE,20002,6
21,S0000,Abandoned Vehicle - On Public Property,2023/03/15 21:39:45+00,2023/03/21 17:03:05+00,2023/04/03 21:39:45+00,2023/03/15 21:39:45+00,1,1131 CHICAGO STREET SE,20020,8
22,S0000,Abandoned Vehicle - On Public Property,2023/03/16 00:40:09+00,2023/03/16 16:27:09+00,2023/04/04 00:40:09+00,2023/03/16 00:40:09+00,1,600 - 699 BLOCK OF 14TH STREET NE,20002,6
23,S0000,Abandoned Vehicle - On Public Property,2023/03/15 20:32:33+00,2023/03/29 16:12:06+00,2023/04/03 20:32:33+00,2023/03/15 20:32:33+00,1,2010 MISSISSIPPI AVENUE SE,20020,8
24,S0000,Abandoned Vehicle - On Public Property,2023/03/15 21:20:18+00,2023/03/27 14:39:11+00,2023/04/03 21:20:18+00,2023/03/15 21:20:18+00,1,745 GRESHAM PLACE NW,20001,1
25,S0000,Abandoned Vehicle - On Public Property,2023/03/15 21:20:58+00,2023/03/28 17:36:05+00,2023/04/03 21:20:58+00,2023/03/15 21:20:58+00,1,5037 CALL PLACE SE,20019,7
26,S0000,Abandoned Vehicle - On Public Property,2023/03/15 21:57:04+00,2023/03/17 18:03:05+00,2023/04/03 21:57:04+00,2023/03/15 21:57:04+00,1,1272 OATES STREET NE,20002,5
27,S0000,Abandoned Vehicle - On Public Property,2023/03/15 22:26:07+00,2023/03/22 15:51:48+00,2023/04/03 22:26:07+00,2023/03/15 22:26:07+00,1,CORCORAN STREET NW AND 19TH STREET NW,20009,2
28,S0000,Abandoned Vehicle - On Public Property,2023/03/15 23:31:24+00,2023/03/22 15:51:06+00,2023/04/03 23:31:24+00,2023/03/15 23:31:24+00,1,1833 CORCORAN STREET NW,20009,2
29,S0000,Abandoned Vehicle - On Public Property,2023/03/16 12:43:33+00,2023/03/20 13:38:56+00,2023/04/04 12:43:33+00,2023/03/16 12:43:33+00,1,243 8TH STREET NE,20002,6
30,S0000,Abandoned Vehicle - On Public Property,2023/03/16 13:04:11+00,2023/03/17 17:57:11+00,2023/04/04 13:04:11+00,2023/03/16 13:04:11+00,1,118 V STREET NE,20002,5
31,S0000,Abandoned Vehicle - On Public Property,2023/03/16 13:06:14+00,2023/03/22 14:06:06+00,2023/04/04 13:06:13+00,2023/03/16 13:06:14+00,1,3800 39TH STREET NW,20016,3
32,S0000,Abandoned Vehicle - On Public Property,2023/03/16 13:44:53+00,2023/03/16 16:12:15+00,2023/04/04 13:44:53+00,2023/03/16 13:44:53+00,1,3906 SOUTHERN AVENUE SE,20020,7
33,S0000,Abandoned Vehicle - On Public Property,2023/03/16 14:58:46+00,2023/04/07 19:09:09+00,2023/04/04 14:58:46+00,2023/03/16 14:58:46+00,1,2106 TAYLOR STREET NE,20018,5
34,S0000,Abandoned Vehicle - On Public Property,2023/03/16 15:13:00+00,2023/04/10 13:16:28+00,2023/04/04 15:13:00+00,2023/03/16 15:13:00+00,1,3801 COMMODORE JOSHUA BARNEY DRIVE NE,20018,5
35,S0000,Abandoned Vehicle - On Public Property,2023/03/16 16:00:51+00,2023/03/17 18:00:05+00,2023/04/04 16:00:51+00,2023/03/16 16:00:51+00,1,3500 - 3899 BLOCK OF JOHN MCCORMACK ROAD NE,20017,5
36,S0000,Abandoned Vehicle - On Public Property,2023/03/16 16:11:06+00,2023/03/30 17:30:05+00,2023/04/04 16:11:05+00,2023/03/16 16:11:06+00,1,501 6TH STREET SW,20024,6
37,S0000,Abandoned Vehicle - On Public Property,2023/03/16 13:33:08+00,2023/04/06 14:36:04+00,2023/04/04 13:33:08+00,2023/03/16 13:33:08+00,1,4325 BARKER STREET SE,20019,7
38,S0000,Abandoned Vehicle - On Public Property,2023/03/16 16:14:06+00,2023/03/30 17:30:05+00,2023/04/04 16:14:06+00,2023/03/16 16:14:06+00,1,501 6TH STREET SW,20024,6
39,S0000,Abandoned Vehicle - On Public Property,2023/03/16 17:06:03+00,2023/03/29 17:09:05+00,2023/04/04 17:06:03+00,2023/03/16 17:06:03+00,1,200 - 299 BLOCK OF OKLAHOMA AVENUE NE,20019,7
40,S0000,Abandoned Vehicle - On Public Property,2023/03/16 17:47:03+00,2023/03/21 16:18:05+00,2023/04/04 17:47:02+00,2023/03/16 17:47:03+00,1,200 - 299 BLOCK OF OKLAHOMA AVENUE NE,20019,7
41,S0000,Abandoned Vehicle - On Public Property,2023/03/16 17:24:07+00,2023/03/22 17:36:04+00,2023/04/04 17:24:07+00,2023/03/16 17:24:07+00,1,1321 TUCKERMAN STREET NW,20011,4
42,S0000,Abandoned Vehicle - On Public Property,2023/03/16 18:57:03+00,2023/03/22 15:45:05+00,2023/04/04 18:57:03+00,2023/03/16 18:57:03+00,1,6228 GEORGIA AVENUE NW,20011,4
43,S0000,Abandoned Vehicle - On Public Property,2023/03/16 19:27:00+00,2023/04/13 17:36:59+00,2023/04/04 19:27:00+00,2023/03/16 19:27:00+00,1,3121 20TH STREET SE,20020,8
44,S0000,Abandoned Vehicle - On Public Property,2023/03/16 19:46:57+00,2023/03/17 16:27:05+00,2023/04/04 19:46:57+00,2023/03/16 19:46:57+00,1,124 P STREET SW,20024,6
45,S0000,Abandoned Vehicle - On Public Property,2023/03/16 19:48:56+00,2023/04/06 18:00:06+00,2023/04/04 19:48:56+00,2023/03/16 19:48:56+00,1,3337 5TH STREET SE,20032,8
46,S0000,Abandoned Vehicle - On Public Property,2023/03/16 20:08:46+00,2023/03/17 14:15:05+00,2023/04/04 20:08:46+00,2023/03/16 20:08:46+00,1,1002 QUEBEC PLACE NW,20010,4
47,S0000,Abandoned Vehicle - On Public Property,2023/03/16 23:30:47+00,2023/03/27 14:24:04+00,2023/04/04 23:30:47+00,2023/03/16 23:30:47+00,1,761 KENYON STREET NW,20010,1
49,S0000,Abandoned Vehicle - On Public Property,2023/03/17 02:13:02+00,2023/03/17 17:42:05+00,2023/04/05 02:13:02+00,2023/03/17 02:13:02+00,1,5101 NORTH CAPITOL STREET NE,20011,5
50,S0000,Abandoned Vehicle - On Public Property,2023/03/16 18:24:13+00,2023/04/07 15:30:07+00,2023/04/04 18:24:13+00,2023/03/16 18:24:13+00,1,36TH STREET SE AND CROFFUT PLACE SE,20019,7
51,S0000,Abandoned Vehicle - On Public Property,2023/03/16 18:24:52+00,2023/03/21 13:36:05+00,2023/04/04 18:24:52+00,2023/03/16 18:24:52+00,1,1516 19TH STREET SE,20020,8
52,S0000,Abandoned Vehicle - On Public Property,2023/03/16 19:12:33+00,2023/03/21 17:12:05+00,2023/04/04 19:12:33+00,2023/03/16 19:12:33+00,1,1509 W STREET SE,20020,8
53,S0000,Abandoned Vehicle - On Public Property,2023/03/16 20:48:19+00,2023/03/27 16:45:05+00,2023/04/04 20:48:19+00,2023/03/16 20:48:19+00,1,3132 19TH STREET NW,20010,1
54,S0000,Abandoned Vehicle - On Public Property,2023/03/16 20:58:05+00,2023/03/27 15:39:13+00,2023/04/04 20:58:05+00,2023/03/16 20:58:05+00,1,53RD STREET NE AND BLAINE STREET NE,20019,7
55,S0000,Abandoned Vehicle - On Public Property,2023/03/16 21:32:39+00,2023/03/20 16:09:06+00,2023/04/04 21:32:39+00,2023/03/16 21:32:39+00,1,4660 MARTIN LUTHER KING JR AVENUE SW,20032,8
56,S0000,Abandoned Vehicle - On Public Property,2023/03/16 22:02:03+00,2023/04/06 18:03:06+00,2023/04/04 22:02:02+00,2023/03/16 22:02:03+00,1,3344 5TH STREET SE,20032,8
57,S0000,Abandoned Vehicle - On Public Property,2023/03/16 22:06:45+00,2023/04/06 18:03:07+00,2023/04/04 22:06:44+00,2023/03/16 22:06:45+00,1,3340 5TH STREET SE,20032,8
58,S0000,Abandoned Vehicle - On Public Property,2023/03/16 22:12:58+00,2023/03/31 14:21:05+00,2023/04/04 22:12:58+00,2023/03/16 22:12:58+00,1,409 TRENTON STREET SE,20032,8
59,S0000,Abandoned Vehicle - On Public Property,2023/03/17 04:22:39+00,2023/03/17 17:06:05+00,2023/04/05 04:22:39+00,2023/03/17 04:22:39+00,1,MINNESOTA AVENUE NE AND RIDGE ROAD SE,20019,7
60,S0000,Abandoned Vehicle - On Public Property,2023/03/17 13:39:29+00,2023/03/20 15:30:07+00,2023/04/05 13:39:29+00,2023/03/17 13:39:29+00,1,249 8TH STREET NE,20002,6
61,S0000,Abandoned Vehicle - On Public Property,2023/03/17 13:45:40+00,2023/03/22 17:57:16+00,2023/04/05 13:45:40+00,2023/03/17 13:45:40+00,1,7538 EASTERN AVENUE NW,20012,4
62,S0000,Abandoned Vehicle - On Public Property,2023/03/17 14:25:36+00,2023/04/04 15:30:05+00,2023/04/05 14:25:36+00,2023/03/17 14:25:36+00,1,60 HAWAII AVENUE NE,20011,5
63,S0000,Abandoned Vehicle - On Public Property,2023/03/17 15:13:31+00,2023/03/23 15:54:06+00,2023/04/05 15:13:31+00,2023/03/17 15:13:31+00,1,4423 GAULT PLACE NE,20019,7
66,S0000,Abandoned Vehicle - On Public Property,2023/03/17 17:32:33+00,2023/04/03 16:57:06+00,2023/04/05 17:32:33+00,2023/03/17 17:32:33+00,1,4829 1ST STREET SW,20032,8
67,S0000,Abandoned Vehicle - On Public Property,2023/03/17 15:16:39+00,2023/03/23 15:51:14+00,2023/04/05 15:16:38+00,2023/03/17 15:16:39+00,1,4423 GAULT PLACE NE,20019,7
68,S0000,Abandoned Vehicle - On Public Property,2023/03/17 15:57:09+00,2023/03/20 15:21:55+00,2023/04/05 15:57:09+00,2023/03/17 15:57:09+00,1,501 6TH STREET SW,20024,6
69,S0000,Abandoned Vehicle - On Public Property,2023/03/17 16:43:03+00,2023/03/21 16:30:05+00,2023/04/05 16:43:02+00,2023/03/17 16:43:03+00,1,500 - 699 BLOCK OF 4TH STREET SW,20024,6
71,S0000,Abandoned Vehicle - On Public Property,2023/03/17 17:24:16+00,2023/03/31 16:30:06+00,2023/04/05 17:24:16+00,2023/03/17 17:24:16+00,1,59 FORRESTER STREET SW,20032,8
73,S0000,Abandoned Vehicle - On Public Property,2023/03/17 21:23:34+00,2023/04/07 15:30:21+00,2023/04/05 21:23:34+00,2023/03/17 21:23:34+00,1,36TH STREET SE AND CROFFUT PLACE SE,20019,7
74,S0000,Abandoned Vehicle - On Public Property,2023/03/17 22:00:31+00,2023/03/21 17:21:05+00,2023/04/05 22:00:31+00,2023/03/17 22:00:31+00,1,248 GALLATIN STREET NW,20011,4
75,S0000,Abandoned Vehicle - On Public Property,2023/03/18 00:07:02+00,2023/03/28 17:09:08+00,2023/04/06 00:07:02+00,2023/03/18 00:07:02+00,1,902 M STREET NW,20001,2
76,S0000,Abandoned Vehicle - On Public Property,2023/03/18 01:05:23+00,2023/04/04 15:21:05+00,2023/04/06 01:05:23+00,2023/03/18 01:05:23+00,1,4814 SOUTH DAKOTA AVENUE NE,20017,5
77,S0000,Abandoned Vehicle - On Public Property,2023/03/18 07:20:21+00,2023/03/28 14:36:13+00,2023/04/05 07:20:21+00,2023/03/18 07:20:21+00,1,717 46TH STREET SE,20019,7
78,S0000,Abandoned Vehicle - On Public Property,2023/03/18 07:25:59+00,2023/03/28 14:36:13+00,2023/04/05 07:25:59+00,2023/03/18 07:25:59+00,1,717 46TH STREET SE,20019,7
80,S0000,Abandoned Vehicle - On Public Property,2023/03/18 16:46:09+00,2023/03/27 16:24:05+00,2023/04/05 16:46:09+00,2023/03/18 16:46:09+00,1,1722 IRVING STREET NW,20010,1
81,S0000,Abandoned Vehicle - On Public Property,2023/03/18 17:36:19+00,2023/03/28 12:30:45+00,2023/04/05 17:36:19+00,2023/03/18 17:36:19+00,1,2900 RHODE ISLAND AVENUE NE,20018,5
82,S0000,Abandoned Vehicle - On Public Property,2023/03/18 17:39:21+00,2023/03/21 19:12:05+00,2023/04/05 17:39:21+00,2023/03/18 17:39:21+00,1,2919 RHODE ISLAND AVENUE NE,20018,5
83,S0000,Abandoned Vehicle - On Public Property,2023/03/18 17:43:43+00,2023/03/20 15:24:06+00,2023/04/05 17:43:43+00,2023/03/18 17:43:43+00,1,411 I STREET NE,20002,6
84,S0000,Abandoned Vehicle - On Public Property,2023/03/18 16:08:16+00,2023/03/29 13:36:05+00,2023/04/05 16:08:16+00,2023/03/18 16:08:16+00,1,1655 GALES STREET NE,20002,7
85,S0000,Abandoned Vehicle - On Public Property,2023/03/18 16:23:00+00,2023/04/07 19:06:04+00,2023/04/05 16:23:00+00,2023/03/18 16:23:00+00,1,426 MARIETTA PLACE NW,20011,4
86,S0000,Abandoned Vehicle - On Public Property,2023/03/18 20:49:43+00,2023/03/20 17:27:06+00,2023/04/05 20:49:43+00,2023/03/18 20:49:43+00,1,LINCOLN ROAD NE AND BRYANT STREET NE,20002,5
87,S0000,Abandoned Vehicle - On Public Property,2023/03/18 23:11:44+00,2023/03/28 13:48:32+00,2023/04/05 23:11:44+00,2023/03/18 23:11:44+00,1,4800 - 4899 BLOCK OF LOUGHBORO ROAD NW,20016,3
88,S0000,Abandoned Vehicle - On Public Property,2023/03/18 23:24:39+00,2023/03/20 15:15:05+00,2023/04/05 23:24:39+00,2023/03/18 23:24:39+00,1,213 14TH PLACE NE,20002,6
89,S0000,Abandoned Vehicle - On Public Property,2023/03/19 00:46:17+00,2023/04/04 15:51:06+00,2023/04/06 00:46:17+00,2023/03/19 00:46:17+00,1,1821 2ND STREET NE,20002,5
90,S0000,Abandoned Vehicle - On Public Property,2023/03/19 00:49:16+00,2023/03/21 17:30:06+00,2023/04/06 00:49:16+00,2023/03/19 00:49:16+00,1,600 - 699 BLOCK OF ALABAMA AVENUE SE,20032,8
91,S0000,Abandoned Vehicle - On Public Property,2023/03/19 13:10:50+00,2023/03/22 17:57:07+00,2023/04/05 13:10:50+00,2023/03/19 13:10:50+00,1,950 25TH STREET NW,20037,2
92,S0000,Abandoned Vehicle - On Public Property,2023/03/19 18:08:44+00,2023/03/23 16:39:05+00,2023/04/05 18:08:44+00,2023/03/19 18:08:44+00,1,NANNIE HELEN BURROUGHS AVENUE NE AND 56TH STREET NE,20019,7
93,S0000,Abandoned Vehicle - On Public Property,2023/03/19 20:14:31+00,2023/03/27 16:06:06+00,2023/04/05 20:14:31+00,2023/03/19 20:14:31+00,1,2360 CHAMPLAIN STREET NW,20009,1
94,S0000,Abandoned Vehicle - On Public Property,2023/03/19 21:19:47+00,2023/03/23 17:06:13+00,2023/04/05 21:19:47+00,2023/03/19 21:19:47+00,1,1642 U STREET SE,20020,8
95,S0000,Abandoned Vehicle - On Public Property,2023/03/19 23:01:28+00,2023/04/14 17:36:05+00,2023/04/05 23:01:28+00,2023/03/19 23:01:28+00,1,2962 2ND STREET SE,20032,8
96,S0000,Abandoned Vehicle - On Public Property,2023/03/19 23:03:38+00,2023/04/14 17:36:13+00,2023/04/05 23:03:38+00,2023/03/19 23:03:38+00,1,2962 2ND STREET SE,20032,8
97,S0000,Abandoned Vehicle - On Public Property,2023/03/20 00:21:54+00,2023/03/24 14:45:05+00,2023/04/06 00:21:54+00,2023/03/20 00:21:54+00,1,1108 BRANCH AVENUE SE,20019,7
98,S0000,Abandoned Vehicle - On Public Property,2023/03/19 22:39:14+00,2023/03/29 12:59:36+00,2023/04/05 22:39:14+00,2023/03/19 22:39:14+00,1,1350 PENNSYLVANIA AVENUE NW,20004,2
100,S0000,Abandoned Vehicle - On Public Property,2023/03/20 12:14:40+00,2023/03/21 13:51:06+00,2023/04/06 12:14:40+00,2023/03/20 12:14:40+00,1,1867 KENDALL STREET NE,20002,5
101,S0000,Abandoned Vehicle - On Public Property,2023/03/20 11:47:29+00,2023/04/14 17:36:20+00,2023/04/06 11:47:29+00,2023/03/20 11:47:29+00,1,2958 2ND STREET SE,20032,8
102,S0000,Abandoned Vehicle - On Public Property,2023/03/20 12:08:06+00,2023/03/30 15:51:14+00,2023/04/06 12:08:06+00,2023/03/20 12:08:06+00,1,3948 C STREET SE,20019,7
103,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:00:32+00,2023/03/20 17:39:07+00,2023/04/06 14:00:31+00,2023/03/20 14:00:32+00,1,3432 10TH PLACE SE,20032,8
104,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:51:03+00,2023/03/21 12:31:06+00,2023/04/06 14:51:03+00,2023/03/20 14:51:03+00,1,100 - 134 BLOCK OF WILMINGTON PLACE SE,20032,8
105,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:52:16+00,2023/03/22 14:27:05+00,2023/04/06 14:52:16+00,2023/03/20 14:52:16+00,1,4114 DAVIS PLACE NW,20007,3
106,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:47:38+00,2023/03/22 14:15:05+00,2023/04/06 14:47:38+00,2023/03/20 14:47:38+00,1,216 OKLAHOMA AVENUE NE,20002,7
107,S0000,Abandoned Vehicle - On Public Property,2023/03/20 15:38:12+00,2023/03/23 13:03:38+00,2023/04/06 15:38:12+00,2023/03/20 15:38:12+00,1,3701 PORTER STREET NW,20016,3
108,S0000,Abandoned Vehicle - On Public Property,2023/03/20 13:53:48+00,2023/03/21 11:54:43+00,2023/04/06 13:53:48+00,2023/03/20 13:53:48+00,1,230 11TH STREET NE,20002,6
109,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:24:15+00,2023/03/24 12:29:45+00,2023/04/06 14:24:15+00,2023/03/20 14:24:15+00,1,1700 GALES STREET NE,20002,7
110,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:55:10+00,2023/04/10 18:42:05+00,2023/04/06 16:55:10+00,2023/03/20 16:55:10+00,1,5006 JUST STREET NE,20019,7
111,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:01:26+00,2023/03/21 14:06:05+00,2023/04/06 17:01:26+00,2023/03/20 17:01:26+00,1,200 OKLAHOMA AVENUE NE,20002,7
112,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:28:05+00,2023/03/21 14:30:05+00,2023/04/06 17:28:05+00,2023/03/20 17:28:05+00,1,1336 S STREET NW,20009,2
113,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:52:56+00,2023/03/22 12:31:31+00,2023/04/06 17:52:56+00,2023/03/20 17:52:56+00,1,101 10TH STREET NE,20002,6
114,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:02:35+00,2023/03/21 14:06:13+00,2023/04/06 16:02:35+00,2023/03/20 16:02:35+00,1,208 OKLAHOMA AVENUE NE,20002,7
115,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:09:02+00,2023/03/22 12:27:47+00,2023/04/06 16:09:02+00,2023/03/20 16:09:02+00,1,2321 LINCOLN ROAD NE,20002,5
117,S0000,Abandoned Vehicle - On Public Property,2023/03/20 18:46:32+00,2023/03/21 16:12:06+00,2023/04/06 18:46:31+00,2023/03/20 18:46:32+00,1,64 SHERIDAN STREET NE,20011,4
118,S0000,Abandoned Vehicle - On Public Property,2023/03/20 19:13:06+00,2023/03/22 17:36:05+00,2023/04/06 19:13:06+00,2023/03/20 19:13:06+00,1,1105 N STREET NW,20005,2
119,S0000,Abandoned Vehicle - On Public Property,2023/03/20 19:21:01+00,2023/03/29 17:51:14+00,2023/04/06 19:21:01+00,2023/03/20 19:21:01+00,1,3432 10TH PLACE SE,20032,8
120,S0000,Abandoned Vehicle - On Public Property,2023/03/20 23:34:01+00,2023/03/21 18:21:13+00,2023/04/06 23:34:01+00,2023/03/20 23:34:01+00,1,4207 7TH STREET NW,20011,4
121,S0000,Abandoned Vehicle - On Public Property,2023/03/20 23:59:32+00,2023/03/31 14:30:13+00,2023/04/06 23:59:32+00,2023/03/20 23:59:32+00,1,1315 CLIFTON STREET NW,20009,1
